file name A,file name B,esn type,number datasets,feedback,test/train,loss
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,2.017846726105229
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.146854518584704
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.908588786815307
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.3767602134624315
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.5721772766236544
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.0348769010040801
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.9619413355152334
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.4149292152655537
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.7623137488761837
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.4398343050646416
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.9482598458032325
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.8058358582549497
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.657156233726397
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.6263064450256213
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,0.887110735458351
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.4914988072927099
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.0175755946412006
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.5652635398714719
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.4979000834421825
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.9362442149550017
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.9310825821336408
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.083364921631742
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.7983831315889286
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,0.957201355346748
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.8535167137133364
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.43559478675385865
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.3400084845169107
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.2510339653323257
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.7867366784208412
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.0017656947637903
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.7209802184991891
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.2036592789701877
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.5461331355496893
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.9734535833140914
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.9144015367485053
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.3057659152590961
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.7062581461329717
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.3352318033846569
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.8158480230922056
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.33165311196477426
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.3910193640762853
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.3336289253943043
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.7559560893474777
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.0905493875913417
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.6409977750948377
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.196989389391872
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.23285483351149022
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.5904216042649593
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.5137933410717281
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,2.0289086619910854
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.2441424791287055
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.873530911782221
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.4305903460383143
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.5275697821600035
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.8274319039313326
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.8200461100774727
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,0.994663274856159
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.6909431218992437
